CustomerId,Surname,Geography,Gender,Age,CreditScore,Balance,NumOfProducts,IsActiveMember,Exited,ChurnProbability,PredictedChurn,RiskBand
15634602,Hargrave,France,Female,42,619,0.0,1,1,1,0.3569,1,Moderate Risk
15647311,Hill,Spain,Female,41,608,83807.86,1,1,0,0.1584,0,Low Risk
15619304,Onio,France,Female,42,502,159660.8,3,0,1,0.9848,1,Critical Risk
15701354,Boni,France,Female,39,699,0.0,2,0,0,0.0538,0,Low Risk
15737888,Mitchell,Spain,Female,43,850,125510.82,1,1,0,0.0452,0,Low Risk
15574012,Chu,Spain,Male,44,645,113755.78,2,0,1,0.258,0,Moderate Risk
15592531,Bartlett,France,Male,50,822,0.0,2,1,0,0.0403,0,Low Risk
15656148,Obinna,Germany,Female,29,376,115046.74,4,0,1,1.0,1,Critical Risk
15792365,He,France,Male,44,501,142051.07,2,1,0,0.057,0,Low Risk
15592389,H?,France,Male,27,684,134603.88,1,1,0,0.0365,0,Low Risk
15767821,Bearce,France,Male,31,528,102016.72,2,0,0,0.0336,0,Low Risk
15737173,Andrews,Spain,Male,24,497,0.0,2,0,0,0.0101,0,Low Risk
15632264,Kay,France,Female,34,476,0.0,2,0,0,0.053,0,Low Risk
15691483,Chin,France,Female,25,549,0.0,2,0,0,0.0281,0,Low Risk
15600882,Scott,Spain,Female,35,635,0.0,2,1,0,0.0159,0,Low Risk
15643966,Goforth,Germany,Male,45,616,143129.41,2,1,0,0.154,0,Low Risk
15737452,Romeo,Germany,Male,58,653,132602.88,1,0,1,0.9978,1,Critical Risk
15788218,Henderson,Spain,Female,24,549,0.0,2,1,0,0.0062,0,Low Risk
15661507,Muldrow,Spain,Male,45,587,0.0,1,0,0,0.7885,1,Critical Risk
15568982,Hao,France,Female,24,726,0.0,2,1,0,0.0124,0,Low Risk
15577657,McDonald,France,Male,41,732,0.0,2,1,0,0.0282,0,Low Risk
15597945,Dellucci,Spain,Female,32,636,0.0,2,0,0,0.0289,0,Low Risk
15699309,Gerasimov,Spain,Female,38,510,0.0,1,0,1,0.4687,1,High Risk
15725737,Mosman,France,Male,46,669,0.0,2,1,0,0.0359,0,Low Risk
15625047,Yen,France,Female,38,846,0.0,1,1,0,0.2397,0,Moderate Risk
15738191,Maclean,France,Male,25,577,0.0,2,1,0,0.0062,0,Low Risk
15736816,Young,Germany,Male,36,756,136815.64,1,1,0,0.2491,0,Moderate Risk
15700772,Nebechi,France,Male,44,571,0.0,2,0,0,0.0449,0,Low Risk
15728693,McWilliams,Germany,Female,43,574,141349.43,1,1,0,0.5082,1,High Risk
15656300,Lucciano,France,Male,29,411,59697.17,2,1,0,0.0159,0,Low Risk
15589475,Azikiwe,Spain,Female,39,591,0.0,3,0,1,0.9431,1,Critical Risk
15706552,Odinakachukwu,France,Male,36,533,85311.7,1,1,0,0.0977,0,Low Risk
15750181,Sanderson,Germany,Male,41,553,110112.54,2,0,0,0.3085,1,Moderate Risk
15659428,Maggard,Spain,Female,42,520,0.0,2,1,0,0.0286,0,Low Risk
15732963,Clements,Spain,Female,29,722,0.0,2,1,0,0.0101,0,Low Risk
15794171,Lombardo,France,Female,45,475,134264.04,1,0,1,0.84,1,Critical Risk
15788448,Watson,Spain,Male,31,490,145260.23,1,1,0,0.0403,0,Low Risk
15729599,Lorenzo,Spain,Male,33,804,76548.6,1,1,0,0.027,0,Low Risk
15717426,Armstrong,France,Male,36,850,0.0,1,1,0,0.0711,0,Low Risk
15585768,Cameron,Germany,Male,41,582,70349.48,2,1,0,0.0433,0,Low Risk
15619360,Hsiao,Spain,Male,40,472,0.0,1,0,0,0.4272,1,High Risk
15738148,Clarke,France,Female,51,465,122522.32,1,0,1,0.9417,1,Critical Risk
15687946,Osborne,France,Female,61,556,117419.35,1,1,0,0.4131,1,High Risk
15755196,Lavine,France,Female,49,834,131394.56,1,0,1,0.6629,1,Critical Risk
15684171,Bianchi,Spain,Female,61,660,155931.11,1,1,0,0.3281,1,Moderate Risk
15754849,Tyler,Germany,Female,32,776,109421.13,2,1,0,0.0649,0,Low Risk
15602280,Martin,Germany,Female,27,829,112045.67,1,1,1,0.3668,1,Moderate Risk
15771573,Okagbue,Germany,Female,39,637,137843.8,1,1,1,0.5828,1,High Risk
15766205,Yin,Germany,Male,38,550,103391.38,1,1,0,0.234,0,Moderate Risk
15771873,Buccho,Germany,Female,37,776,103769.22,2,0,0,0.0701,0,Low Risk
15616550,Chidiebele,Germany,Male,44,698,116363.37,2,0,0,0.1623,0,Low Risk
15768193,Trevisani,Germany,Male,36,585,146050.97,2,0,0,0.0661,0,Low Risk
15683553,O'Brien,France,Female,33,788,0.0,2,0,0,0.0274,0,Low Risk
15702298,Parkhill,Germany,Male,41,655,125561.97,1,0,1,0.7853,1,Critical Risk
15569590,Yoo,Germany,Male,42,601,98495.72,1,0,1,0.686,1,Critical Risk
15760861,Phillipps,France,Male,43,619,125211.92,1,1,0,0.1219,0,Low Risk
15630053,Tsao,France,Male,45,656,127864.4,1,0,0,0.5603,1,High Risk
